qi-k!520,qi-k!553,qi-k!587,qi-k!565,qi-quant-u-8,qi-quant-u-9,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-27,qi-quant-u-2,qi-quant-u-26,qi-quant-u-3,qi-quant-u-0,qi-quant-u-24,qi-quant-u-1,qi-quant-u-10,qi-quant-u-11,qi-quant-u-35,qi-quant-u-34,qi-quant-u-4,qi-quant-u-28,qi-quant-u-5,qi-quant-u-43,qi-quant-u-18,qi-quant-u-42,qi-quant-u-19,qi-quant-u-33,qi-quant-u-32,qi-quant-u-41,qi-quant-u-16,qi-quant-u-40,qi-quant-u-17,qi-quant-u-6,qi-quant-u-30,qi-quant-u-7,qi-quant-u-20,qi-quant-u-45,qi-quant-u-21,qi-quant-u-44,qi-$Multiset[Int]_prog.equal_count,qi-$Multiset[Int]_prog.native_equality,qi-$Multiset[Int]_prog.singleton_unionone,qi-quant-u-12,qi-quant-u-36,qi-quant-u-13,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.count_empty,qi-quant-u-14,qi-quant-u-38,qi-quant-u-15,qi-prog.getter_over_tuple2,qi-quant-u-22,qi-quant-u-23,qi-prog.integer_ax_dec,qi-k!569,qi-k!593,qi-k!599,qi-prog.integer_ax_bound,qi-quant-u-47,qi-quant-u-46,execution_time
1,79,62,18,24,56,111,111,47,44,47,46,44,44,43,11,24,13,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,31,16,87,84,229,84,30,1,1,1,3,2,1,9,72,49,49,6,1,1,11.07684588432312
1,95,62,44,24,68,207,207,63,60,63,94,60,60,58,12,28,14,14,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,34,1,1,1,69,34,143,144,536,155,49,1,1,1,3,2,1,9,123,76,76,6,1,1,10.869197130203247
1,79,62,20,24,56,111,111,47,44,47,46,44,44,43,11,28,13,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,31,16,87,88,228,84,28,1,1,1,3,2,1,9,76,51,51,6,1,1,11.096105337142944
1,93,64,37,24,66,180,180,61,58,61,80,58,58,57,14,28,17,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,29,1,1,1,57,29,127,128,415,134,49,1,1,1,3,2,1,9,106,69,69,6,1,1,10.945177793502808
1,79,61,18,24,56,110,110,46,43,46,46,43,43,42,11,24,14,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,31,16,84,84,227,84,28,1,1,1,3,2,1,9,72,49,49,6,1,1,10.8948495388031
1,79,62,18,24,56,111,111,47,44,47,46,44,44,43,11,24,13,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,31,16,83,84,229,84,29,1,1,1,3,2,1,9,72,49,49,6,1,1,10.974491357803345
1,89,63,31,24,62,158,158,57,54,57,68,54,54,53,13,28,16,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,25,1,1,1,49,25,121,123,374,125,42,1,1,1,3,2,1,9,98,62,62,6,1,1,11.06387186050415
1,103,63,54,24,80,247,247,71,68,71,118,68,68,67,12,24,14,14,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,43,1,1,1,85,41,160,160,536,176,47,1,1,1,3,2,1,9,138,85,85,6,1,1,10.843992710113525
1,107,62,54,24,80,249,249,77,74,77,114,72,72,71,12,28,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,41,1,1,1,81,41,161,162,547,179,45,1,1,1,3,2,1,9,140,85,85,6,1,1,11.332424402236938
1,95,62,42,24,72,200,200,63,60,63,90,60,60,59,12,28,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,32,1,1,1,63,32,136,137,504,140,46,1,1,1,3,2,1,9,120,74,74,6,1,1,10.988781929016113
1,85,65,20,24,56,109,109,52,48,51,42,48,48,47,12,30,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,14,1,1,1,27,14,78,79,220,78,33,1,1,1,3,2,1,9,76,54,54,6,1,1,11.061363220214844
1,107,63,50,24,80,229,229,75,72,75,106,72,72,71,12,28,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,37,1,1,1,73,36,146,146,487,159,43,1,1,1,3,2,1,9,132,81,81,6,1,1,11.481862545013428
1,107,64,50,24,80,235,235,75,72,75,110,72,72,71,13,24,16,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,39,1,1,1,77,37,160,161,518,172,45,1,1,1,3,2,1,9,132,81,81,6,1,1,10.774917602539062
1,91,63,34,24,64,169,169,59,56,59,74,56,56,53,13,28,16,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,27,1,1,1,53,27,128,130,399,129,43,1,1,1,3,2,1,9,104,65,65,6,1,1,11.072274684906006
1,87,62,29,24,62,156,156,55,52,55,68,52,52,51,11,24,14,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,25,1,1,1,49,25,112,113,361,121,37,1,1,1,3,2,1,9,91,60,60,6,1,1,10.918574810028076
1,95,59,42,24,68,205,205,60,58,60,94,58,58,57,11,24,13,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,34,1,1,1,69,34,138,138,531,153,44,1,1,1,3,2,1,9,118,72,72,6,1,1,11.23032283782959
1,95,63,44,24,68,207,207,63,60,63,94,60,60,58,12,28,14,14,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,34,1,1,1,69,34,143,144,531,155,49,1,1,1,3,2,1,9,122,76,76,6,1,1,11.07629919052124
1,79,64,16,24,56,103,103,47,44,47,42,44,44,43,12,24,14,14,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,14,1,1,1,27,14,80,81,203,74,27,1,1,1,3,2,1,9,68,48,48,6,1,1,11.059718132019043
1,89,62,32,24,64,167,167,57,54,57,74,54,54,53,12,24,14,14,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,27,1,1,1,53,27,122,123,390,127,39,1,1,1,3,2,1,9,100,63,63,6,1,1,10.986785173416138
1,89,64,32,24,64,169,169,59,56,59,74,54,54,53,13,24,17,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,27,1,1,1,53,27,121,123,388,127,47,1,1,1,3,2,1,9,96,64,64,6,1,1,10.931391954421997
